title,overview,release_date,vote_average,vote_count,genres,original_language
Me Before You,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",2016-06-01,7.929,12440,"Drama, Romance",en
,"Wednesday Addams is sent to Nevermore Academy, a bizarre boarding school where she attempts to master her psychic powers, stop a monstrous killing spree of the town citizens, and solve the supernatural mystery that affected her family 25 years ago — all while navigating her new relationships.",,8.4,8771,"Unknown, Mystery, Comedy",en
,Passengers on an immigrant ship traveling to the new continent get caught in a mysterious riddle when they find a second vessel adrift on the open sea.,,7.6,1270,"Mystery, Drama",de
,"Following the success in the Camelot Singularity, Ritsuka Fujimaru and Mash Kyrielight are assigned to the last Singularity in the Grand Order initiative. In Ancient Babylonia, 2500 BCE, they embark on a mission to secure humanity's survival. Upon arrival, they learn that three gods have threatened Uruk, the Babylonian city ruled by King Gilgamesh. Ritsuka and Mash must work together to fend off the invasion of mysterious beasts in Uruk under Gilgamesh's orders while investigating the true nature of the three gods' actions against humanity; but unknown to Ritsuka, an ancient entity is slowly rising from its slumber.",,7.9,189,"Animation, Unknown, Drama, Unknown",ja
Love in the Villa,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.",2022-09-01,6.043,359,"Romance, Comedy",en
The Lost Daughter,A woman's seaside vacation takes a dark turn when her obsession with a young mother forces her to confront secrets from her past.,2021-12-15,6.535,965,Drama,en
,"A terminally ill French secret service agent is hired by Hydra, a mysterious black ops organization set up by the government, to fight crime by any means necessary and receive experimental treatment in return. Also, his daughter hates him.",,6.9,18,"Unknown, Comedy, Drama",fr
,"A sexy, suspense-driven legal thriller about a group of ambitious law students and their brilliant, mysterious criminal defense professor. They become entangled in a murder plot and will shake the entire university and change the course of their lives.",,7.9,1616,"Crime, Drama, Mystery",en
,"A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss.",,8.2,3401,"Comedy, Crime",en
Sully,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the Hudson River, saving the lives of all 155 souls aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career.",2016-09-07,7.2,7195,"Drama, History",en
,"Legendary manager Fatih Terim recounts his football journey, from his playing days to coaching and leading several teams to championship glory.",,7.2,11,Documentary,tr
,"An intimate, hilarious, touching and almost voyeur look at the everyday realities of married life and differences between men and women.",,8.2,17,Comedy,tr
Nocturnal Animals,"Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.",2016-11-04,7.424,7810,"Drama, Thriller",en
The Gentlemen,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",2020-01-01,7.68,5875,"Action, Crime, Comedy",en
